"Footprint","Part Value","LCSC Part"
"0603@3","100nF","C14663"
"0805","0Ohm","C17477"
"0805","100nF","C49678"
"0805","100Ohm","C17408"
"0805","1k","C17513"
"0805","22Ohm","C17561"
"0805","33Ohm","C17634"
"0805","3k16","C52603"
"1206","40R 6A","C357018"
"1206","48R 6A","C357018"
"BGA-169_11.0x11.0mm_Layout13x13_P0.8mm_Ball0.5mm_Pad0.35mm_NSMD","10M02SCU169C8G","C1521951"
"C1210K","22uF/10V","C2918510"
"C1210K","22uF/16V","C2918510"
"CP_Elec_6.3x3.9","22uF","C2761583"
"CP_Elec_6.3x5.4","22uF","C445045"
"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","0.01uF","C57112"
"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","0.1uF","C14663"
"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","100nF","C14663"
"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","10uF","C96446"
"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","1uF","C15849"
"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","3.9nF","C1618"
"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","4.7uF","C19666"
"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","0.1uF","C49678"
"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1uF","C28323"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","100nF","C49678"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","10µF","C15850"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","22µF","C45783"
"C_1206_3216Metric","100uF","C24497"
"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","10uF","C13585"
"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","10uF","C13585"
"C_Elec_5x5.4","22uF","C401783"
"Fuse_1806_4516Metric_Pad1.57x1.80mm_HandSolder","Ferrite_Bead_Small","C88998"
"IDC-Header_2x07_P2.54mm_Vertical","Conn_02x07_Odd_Even","C132432"
"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","LED_Small","C434438"
"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","LED_Small_Green","C434442"
"L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","FerriteBead","C88974"
"L_Bourns_SRP7028A_7.3x6.6mm","10µH","C208101"
"MINIMELF","1N4148","C183025"
"MSOP-10_3x3mm_P0.5mm","LTC2990","C107804"
"MSOP10","LTC 2990","C107804"
"PGA226","MC68060","C9900095602"
"PinHeader_1x02_P2.54mm_Vertical","Jumper_2_Open","C358684"
"PinHeader_1x03_P2.54mm_Horizontal","Jumper_NO_Small","C722746"
"PinHeader_1x03_P2.54mm_Vertical","Jumper_3_Open","C429954"
"PinHeader_1x06_P2.54mm_Vertical","JTAG","C6332199"
"PinHeader_2x20_P2.54mm_Horizontal","A500 MEM EXP","C22373943"
"PinHeader_2x40_P1.27mm_Vertical","Conn_02x40_Odd_Even","C7470095"
"R-NETZ@2","1k","C160614"
"R-NETZ@2","33Ohm","C25508"
"R0805","1.0K 0 1%","C309081"
"R0805","1.0K 0,1%","C309081"
"R0805","10.0K 0 1%","C406725"
"R0805","10.0K 0,1%","C406725"
"R0805","470Ohm","C17710"
"R0805","470Ohm 0 1%","C706281"
"R0805","470Ohm 0,1%","C706281"
"RESCAF80P320X160X60-8N","10k","C29718"
"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","100k","C25803"
"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","10K","C25804"
"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","26.1k*","C23356"
"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","27.0k","C22967"
"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","27.4k","C321828"
"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","28.0k","C22989"
"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","6.8k","C23212"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","33","C17634"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","100","C17408"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","120","C17437"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","680","C17798"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","10k","C17414"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1k","C17513"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1k 0.1%","C110774"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1k2","C17379"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4k7","C17673"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","9k 0.1%","C2828721"
"R_Array_Convex_4x0603","22","C12008"
"R_Array_Convex_4x0603","68","C458667"
"R_Array_Convex_4x0603","1k","C20197"
"SO-8","ICS570A/B","C9900074873"
"SO-8","ICS570BLFT","C9900074873"
"SOIC-14_3.9x8.7mm_P1.27mm","7407","C40481"
"SOIC-24W_7.5x15.4mm_P1.27mm","74FCT543A","C2863309"
"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm","MP2307","C18921"
"SOJ-42","1MX16_DRAM_SOJ-42","C9900245332"
"SOJ-42","1MX16_DRAMJ","C9900245332"
"SOT-223","LM1117-3.3","C6186"
"SOT-223-3_TabPin2","AMS1117-3.3","C6186"
"SOT23-5","74AHCT1G04DBV","C30326"
"SOT23-5","SN74AHCT1G04DBVR","C30326"
"TQFP-100","XC95144XL-TQ100-10","C45126"
"TQFP-100_14x14mm_P0.5mm","XC95144XL-TQ100","C45126"
"TQFP-144_20x20mm_P0.5mm","XC95144XL-TQ144","C1521137"
"TQFP144","XC95288XL-TQ144-10","C569037"
"TSOP-5_1.65x3.05mm_P0.95mm","BU4942","C2067989"
"TSOP-II-40","MSM514260C-60TK","C9900240804"
"TSOP2-54@2","WINBOND W9825G6KH-5","C62246"
"TSOP2-54@2","WINBOND W9825G6KH-6","C62246"
"TSSOP-20_4.4x6.5mm_P0.65mm","PCF8574TS","C57790"
"TSSOP-20_4.4x6.5mm_P0.65mm","SN74CB3T3245PW","C15298"
"TSSOP-48_6.1x12.5mm_P0.5mm_padLength_1mm","SN74CBTD16210","C2674762"
"TSSOP56@2","74LVTH16543","C2867248"
